name,handwid,STL%▼
Jarrett Culver,8.5,1.8
Tyler Herro,8.75,1.1
Eric Paschall,9.5,0.9
Jordan Poole,8.5,1.3
P.J. Washington,10.25,1.5
Coby White,9.0,1.4
Miles Bridges,9.75,1.0
Bruce Brown,8.5,1.9
Donte DiVincenzo,9.0,2.6
Shai Gilgeous-Alexander,9.0,1.6
Aaron Holiday,8.5,1.7
Kevin Huerter,8.5,1.4
Sviatoslav Mykhailiuk,9.5,1.6
Josh Okogie,9.75,2.0
Collin Sexton,8.5,1.5
Landry Shamet,9.0,0.7
Anfernee Simons,9.0,0.9
Trae Young,9.25,1.4
Jarrett Allen,10.5,1.0
OG Anunoby,9.5,2.2
Dillon Brooks,9.25,1.4
John Collins,10.0,1.1
Josh Hart,9.5,1.7
Kyle Kuzma,9.5,0.9
Donovan Mitchell,9.5,1.4
Monte Morris,8.75,1.7
Derrick White,8.5,1.3
Malcolm Brogdon,10.25,1.0
Jaylen Brown,9.0,1.6
Marquese Chriss,9.0,1.6
Dorian Finney-Smith,9.75,1.0
Josh Hart,9.25,1.7
Buddy Hield,9.0,1.4
Caris LeVert,9.25,1.9
Taurean Prince,8.5,1.5
Pascal Siakam,10.0,1.4
Devin Booker,9.0,0.9
Montrezl Harrell,9.75,1.1
Bobby Portis,9.25,1.1
Norman Powell,9.0,1.9
Terry Rozier,8.5,1.4
Myles Turner,9.25,1.2
Christian Wood,10.75,1.3
Delon Wright,8.5,2.6
Jordan Clarkson,9.0,1.3
Spencer Dinwiddie,9.0,0.9
Aaron Gordon,10.5,1.2
Jerami Grant,9.25,1.3
Gary Harris,9.5,2.1
Joe Harris,9.75,0.9
Zach LaVine,8.75,2.0
Doug McDermott,9.75,0.4
Shabazz Napier,8.5,2.4
Elfrid Payton,9.0,2.7
Julius Randle,8.25,1.2
Glenn Robinson III,9.5,1.5
Marcus Smart,8.75,2.5
T.J. Warren,9.0,1.7
Steven Adams,11.0,1.5
Kentavious Caldwell-Pope,9.0,1.5
Robert Covington,8.5,2.5
Seth Curry,8.25,1.2
Rudy Gobert,10.0,1.1
Tim Hardaway Jr.,9.25,0.9
CJ McCollum,9.5,1.0
Ben McLemore,9.5,1.3
Tony Snell,9.5,1.0
Cody Zeller,10.5,1.5
Harrison Barnes,8.5,0.8
Will Barton,9.5,1.6
Bradley Beal,9.0,1.6
Jae Crowder,10.5,1.8
Anthony Davis,8.5,2.0
Andre Drummond,9.5,2.8
Draymond Green,9.5,2.3
Maurice Harkless,10.25,1.9
Damian Lillard,9.75,1.3
Khris Middleton,9.0,1.3
Austin Rivers,10.0,1.4
Terrence Ross,10.25,2.0
Alec Burks,8.25,1.7
Jimmy Butler,9.0,2.6
Tobias Harris,9.0,1.0
Cory Joseph,10.5,1.5
Kawhi Leonard,11.25,2.6
Marcus Morris,8.5,1.2
Tristan Thompson,9.25,0.9
Kemba Walker,9.0,1.3
Eric Bledsoe,9.75,1.6
Paul George,9.0,2.3
Gordon Hayward,9.25,1.1
Hassan Whiteside,10.25,0.6
