name,ws:ht ratio,3P%▼
Jarrett Culver,1.05501618122977,0.299
Terence Davis,1.07666666666667,0.388
Tyler Herro,0.983660130718954,0.389
Cameron Johnson,1.0379746835443,0.39
Jordan Poole,1.04304635761589,0.279
P.J. Washington,1.09872611464968,0.374
Coby White,1.01986754966887,0.354
Miles Bridges,1.05501618122977,0.33
Donte DiVincenzo,1.03311258278146,0.336
Shai Gilgeous-Alexander,1.09150326797386,0.347
Aaron Holiday,1.10801393728223,0.394
Kevin Huerter,1.01597444089457,0.38
Sviatoslav Mykhailiuk,0.977707006369427,0.404
Collin Sexton,1.09310344827586,0.38
Landry Shamet,1.03618421052632,0.375
Anfernee Simons,1.09427609427609,0.332
Trae Young,1.03448275862069,0.361
OG Anunoby,1.10223642172524,0.39
Dillon Brooks,1.01298701298701,0.358
Josh Hart,1.05940594059406,0.342
Luke Kennard,1.00980392156863,0.399
Kyle Kuzma,1.053125,0.316
Donovan Mitchell,1.11945392491468,0.366
Derrick White,1.05647840531561,0.366
Malik Beasley,1.04635761589404,0.388
Malcolm Brogdon,1.08910891089109,0.326
Jaylen Brown,1.08414239482201,0.382
Dorian Finney-Smith,1.06687898089172,0.376
Josh Hart,1.05921052631579,0.342
Buddy Hield,1.07260726072607,0.394
Caris LeVert,1.05466237942122,0.364
Georges Niang,1.04126984126984,0.4
Taurean Prince,1.06369426751592,0.339
Pascal Siakam,1.08722741433022,0.359
Devin Booker,1.04901960784314,0.354
Bobby Portis,1.05521472392638,0.358
Norman Powell,1.10333333333333,0.399
Terry Rozier,1.10689655172414,0.407
Myles Turner,1.07645259938838,0.344
Jordan Clarkson,1.06312292358804,0.368
Spencer Dinwiddie,1.04901960784314,0.308
Aaron Gordon,1.05345911949686,0.308
Jerami Grant,1.10509554140127,0.389
Joe Harris,1.01628664495114,0.424
Zach LaVine,1.04901960784314,0.38
Doug McDermott,1.03833865814696,0.435
Shabazz Napier,1.05985915492958,0.317
Glenn Robinson III,1.05806451612903,0.391
Marcus Smart,1.09797297297297,0.347
T.J. Warren,1.04113924050633,0.403
Kentavious Caldwell-Pope,1.04575163398693,0.385
Robert Covington,1.09584664536741,0.335
Seth Curry,1.04109589041096,0.452
Tim Hardaway Jr.,1.03267973856209,0.398
CJ McCollum,1.05387205387205,0.379
Ben McLemore,1.05629139072848,0.4
Kelly Olynyk,0.987915407854985,0.406
Tony Snell,1.07051282051282,0.402
Harrison Barnes,1.05379746835443,0.381
Will Barton,1.06168831168831,0.375
Bradley Beal,1.06312292358804,0.353
Jae Crowder,1.0586319218241,0.343
Anthony Davis,1.10153846153846,0.33
JaMychal Green,1.078125,0.387
Damian Lillard,1.08135593220339,0.401
Khris Middleton,1.05079365079365,0.415
Austin Rivers,1.04966887417219,0.356
Terrence Ross,1.01602564102564,0.351
Mike Scott,1.04416403785489,0.369
Alec Burks,1.06493506493506,0.385
Tobias Harris,1.05732484076433,0.367
Kawhi Leonard,1.11538461538462,0.378
Markieff Morris,1.03761755485893,0.386
Marcus Morris,1.0379746835443,0.408
Isaiah Thomas,1.07272727272727,0.413
Kemba Walker,1.05594405594406,0.381
Eric Bledsoe,1.10034602076125,0.344
Paul George,1.04388714733542,0.412
Gordon Hayward,1.01269841269841,0.383
Danny Green,1.06148867313916,0.367
James Harden,1.08881578947368,0.355
Jrue Holiday,1.04983388704319,0.353
Joe Ingles,1.03134796238245,0.399
Patty Mills,1.03859649122807,0.382
Eric Gordon,1.09459459459459,0.317
George Hill,1.10580204778157,0.46
Brook Lopez,1.07507507507508,0.314
Kevin Love,1.04388714733542,0.374
Mike Conley,1.09507042253521,0.375
Al Horford,1.059375,0.35
Thaddeus Young,1.07395498392283,0.356
Rudy Gay,1.10126582278481,0.336
Chris Paul,1.06271777003484,0.365
Trevor Ariza,1.08860759493671,0.372
Darius Garland,1.03448275862069,0.355
De'Andre Hunter,1.08860759493671,0.355
Carmelo Anthony,1.05,0.385
