name,ws:ht ratio,FT%▼
Jaxson Hayes,1.06382978723404,0.647
Eric Paschall,1.07371794871795,0.774
Coby White,1.01986754966887,0.791
Miles Bridges,1.05501618122977,0.809
Shai Gilgeous-Alexander,1.09150326797386,0.807
Josh Okogie,1.12,0.796
Collin Sexton,1.09310344827586,0.846
Trae Young,1.03448275862069,0.86
Jarrett Allen,1.10185185185185,0.633
Dillon Brooks,1.01298701298701,0.808
John Collins,1.03738317757009,0.8
Kyle Kuzma,1.053125,0.735
Donovan Mitchell,1.11945392491468,0.863
Derrick White,1.05647840531561,0.853
Malcolm Brogdon,1.08910891089109,0.892
Jaylen Brown,1.08414239482201,0.724
Marquese Chriss,1.04334365325077,0.769
Buddy Hield,1.07260726072607,0.846
Caris LeVert,1.05466237942122,0.711
Pascal Siakam,1.08722741433022,0.792
Devin Booker,1.04901960784314,0.919
Montrezl Harrell,1.11708860759494,0.658
Norman Powell,1.10333333333333,0.843
Terry Rozier,1.10689655172414,0.874
Myles Turner,1.07645259938838,0.751
Christian Wood,1.07384615384615,0.744
Jordan Clarkson,1.06312292358804,0.836
Spencer Dinwiddie,1.04901960784314,0.778
Aaron Gordon,1.05345911949686,0.674
Jerami Grant,1.10509554140127,0.75
Zach LaVine,1.04901960784314,0.802
Shabazz Napier,1.05985915492958,0.824
Julius Randle,1.05329153605016,0.733
Marcus Smart,1.09797297297297,0.836
T.J. Warren,1.04113924050633,0.819
Steven Adams,1.06948640483384,0.582
Rudy Gobert,1.09467455621302,0.63
Tim Hardaway Jr.,1.03267973856209,0.819
CJ McCollum,1.05387205387205,0.757
Cody Zeller,1.0,0.682
Harrison Barnes,1.05379746835443,0.801
Bradley Beal,1.06312292358804,0.842
Anthony Davis,1.10153846153846,0.846
Andre Drummond,1.1039755351682,0.575
Damian Lillard,1.08135593220339,0.888
Khris Middleton,1.05079365079365,0.916
Terrence Ross,1.01602564102564,0.853
Alec Burks,1.06493506493506,0.887
Jimmy Butler,1.01923076923077,0.834
Tobias Harris,1.05732484076433,0.806
Kawhi Leonard,1.11538461538462,0.886
Marcus Morris,1.0379746835443,0.823
Kemba Walker,1.05594405594406,0.864
Eric Bledsoe,1.10034602076125,0.79
Paul George,1.04388714733542,0.876
Gordon Hayward,1.01269841269841,0.855
Hassan Whiteside,1.1030303030303,0.686
DeMar DeRozan,1.04516129032258,0.845
James Harden,1.08881578947368,0.865
Jrue Holiday,1.04983388704319,0.709
Jeff Teague,1.10034602076125,0.873
D.J. Augustin,1.07857142857143,0.89
Brook Lopez,1.07507507507508,0.836
Kevin Love,1.04388714733542,0.854
Derrick Rose,1.08843537414966,0.871
Russell Westbrook,1.07407407407407,0.763
Mike Conley,1.09507042253521,0.827
LaMarcus Aldridge,1.08231707317073,0.827
Rudy Gay,1.10126582278481,0.882
Paul Millsap,1.0926517571885,0.816
Chris Paul,1.06271777003484,0.907
Dwight Howard,1.09259259259259,0.514
RJ Barrett,1.04458598726115,0.614
De'Andre Hunter,1.08860759493671,0.764
Ja Morant,1.05333333333333,0.776
Zion Williamson,1.05128205128205,0.64
Markelle Fultz,1.08,0.73
Carmelo Anthony,1.05,0.845
