Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%▼,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1,Brad Wanamaker,PG,30,BOS,71,1,1369,162,362,0.44799999999999995,37,102,0.363,125,260,0.48100000000000004,0.499,126,136,0.9259999999999999,22,122,144,179,61,14,76,133,487
2,Devin Booker,SG,23,PHO,70,70,2512,627,1283,0.489,141,398,0.354,486,885,0.5489999999999999,0.544,468,509,0.919,29,268,297,456,49,18,264,213,1863
3,Khris Middleton,SF,28,MIL,62,59,1853,471,947,0.49700000000000005,147,354,0.415,324,593,0.546,0.575,208,227,0.9159999999999999,44,338,382,265,53,7,137,142,1297
4,Chris Paul,PG,34,OKC,70,70,2208,434,887,0.489,111,304,0.365,323,583,0.5539999999999999,0.552,253,279,0.907,26,323,349,472,111,11,161,158,1232
5,Bojan Bogdanović,SF,30,UTA,63,63,2083,418,935,0.447,189,457,0.414,229,478,0.479,0.5479999999999999,250,277,0.903,39,220,259,131,34,7,159,110,1275
6,Danilo Gallinari,PF,31,OKC,62,62,1834,358,817,0.43799999999999994,178,439,0.405,180,378,0.47600000000000003,0.547,266,298,0.893,34,288,322,119,42,5,76,75,1160
7,Malcolm Brogdon,PG,27,IND,54,54,1666,326,744,0.43799999999999994,75,230,0.326,251,514,0.488,0.489,166,186,0.892,46,216,262,381,35,10,131,98,893
8,J.J. Redick,SG,35,NOP,60,36,1581,286,631,0.45299999999999996,180,397,0.45299999999999996,106,234,0.45299999999999996,0.596,165,185,0.892,10,141,151,119,20,10,75,96,917
9,D.J. Augustin,PG,32,ORL,57,13,1420,184,461,0.39899999999999997,70,201,0.348,114,260,0.43799999999999994,0.475,161,181,0.89,22,100,122,262,34,1,86,72,599
10,Damian Lillard,PG,29,POR,66,66,2474,624,1349,0.46299999999999997,270,674,0.401,354,675,0.524,0.563,460,518,0.888,33,251,284,530,70,22,194,114,1978
11,Alec Burks,SF-SG,28,TOT,66,19,1754,321,768,0.418,116,301,0.385,205,467,0.439,0.493,235,265,0.887,48,234,282,189,62,17,91,128,993
12,Kawhi Leonard,SF,28,LAC,57,57,1848,532,1133,0.47,123,325,0.37799999999999995,409,808,0.506,0.524,356,402,0.8859999999999999,54,348,402,280,103,33,149,113,1543
13,Rudy Gay,PF,33,SAS,67,5,1461,266,596,0.446,74,220,0.336,192,376,0.511,0.508,120,136,0.882,61,301,362,114,35,33,88,103,726
14,Jamal Murray,PG,22,DEN,59,59,1904,408,894,0.456,112,324,0.34600000000000003,296,570,0.519,0.519,163,185,0.8809999999999999,45,191,236,284,67,17,127,102,1091
15,Paul George,SG,29,LAC,48,48,1419,343,782,0.439,157,381,0.41200000000000003,186,401,0.46399999999999997,0.539,190,217,0.8759999999999999,24,248,272,185,68,20,125,113,1033
16,Tomáš Satoranský,SG,28,CHI,65,64,1878,237,551,0.43,64,199,0.322,173,352,0.491,0.488,106,121,0.8759999999999999,76,178,254,354,80,7,130,135,644
17,Terry Rozier,PG,25,CHO,63,63,2164,398,941,0.423,172,423,0.40700000000000003,226,518,0.436,0.514,166,190,0.8740000000000001,50,226,276,259,61,10,141,126,1134
18,Damion Lee,SG,27,GSW,49,36,1423,213,511,0.41700000000000004,85,239,0.35600000000000004,128,272,0.47100000000000003,0.5,110,126,0.873,32,207,239,133,50,6,67,116,621
19,Jeff Teague,PG,31,TOT,59,17,1464,213,489,0.436,43,117,0.368,170,372,0.457,0.48,172,197,0.873,27,115,142,308,44,19,116,106,641
20,Derrick Rose,PG,31,DET,50,15,1298,369,753,0.49,45,147,0.306,324,606,0.535,0.52,121,139,0.871,27,94,121,278,40,16,126,49,904
21,James Harden,SG,30,HOU,68,68,2483,672,1514,0.444,299,843,0.355,373,671,0.556,0.5429999999999999,692,800,0.865,70,376,446,512,125,60,308,227,2335
22,Kemba Walker,PG,29,BOS,56,56,1742,378,889,0.425,180,473,0.381,198,416,0.47600000000000003,0.526,209,242,0.8640000000000001,36,181,217,268,48,28,117,91,1145
23,Donovan Mitchell,SG,23,UTA,69,69,2364,602,1342,0.449,173,473,0.366,429,869,0.494,0.513,278,322,0.863,53,251,304,294,70,14,184,172,1655
24,Ricky Rubio,PG,29,PHO,65,65,2016,287,692,0.415,78,216,0.361,209,476,0.439,0.47100000000000003,195,226,0.863,46,258,304,570,94,11,173,167,847
25,Lou Williams,PG,33,LAC,65,8,1864,391,936,0.418,111,315,0.35200000000000004,280,621,0.451,0.47700000000000004,292,339,0.861,31,170,201,365,43,12,182,80,1185
26,Trae Young,PG,21,ATL,60,60,2120,546,1249,0.43700000000000006,205,568,0.361,341,681,0.501,0.519,481,559,0.86,32,223,255,560,65,8,289,104,1778
27,Kyle Lowry,PG,33,TOR,58,58,2098,334,803,0.41600000000000004,164,466,0.35200000000000004,170,337,0.504,0.518,294,343,0.857,32,260,292,433,82,26,178,190,1126
28,Gordon Hayward,SF,29,BOS,52,52,1740,350,700,0.5,85,222,0.38299999999999995,265,478,0.5539999999999999,0.561,124,145,0.855,55,293,348,212,38,22,96,96,909
29,Kevin Love,PF,31,CLE,56,56,1780,327,727,0.45,146,390,0.374,181,337,0.537,0.55,187,219,0.8540000000000001,54,493,547,178,33,19,140,90,987
