name,pos,hand len,hand wid,ht,wt,wingspan
Precious Achiuwa,PF,9.00,10.00,79.5,234.0,84.75
Ty-Shon Alexander,SG,8.75,8.75,74.0,200.8,80.0
Udoka Azubuike,C,9.25,10.00,82.0,259.5,91.25
Tyler Bey,PF,8.50,9.00,78.0,212.8,85.25
Yoeli Childs,PF,8.75,10.00,78.0,226.4,83.5
Mamadi Diakite,PF,9.00,10.25,80.5,222.1,87.75
Devon Dotson,PG,8.25,10.00,72.5,185.2,75.0
Paul Eboua,SF-PF,9.00,10.25,78.0,222.2,87.5
CJ Elleby,SG-SF,8.75,10.00,77.5,198.6,79.25
Trent Forrest,PG,9.00,9.75,75.5,203.0,79.5
Josh Green,SG-SF,8.00,8.75,76.5,214.0,81.75
Ashton Hagans,PG,9.00,9.00,73.5,193.0,80.0
Joshua Hall,SF,8.75,9.50,78.0,196.6,83.0
Jalen Harris,SG,8.25,9.50,74.75,193.4,79.0
Markus Howard,PG,8.50,7.75,69.5,170.8,72.25
Elijah Hughes,SF-SG,8.50,8.75,76.75,229.0,79.5
Isaiah Joe,SG,8.25,8.25,75.0,170.4,79.5
Mason Jones,SG,8.75,8.50,75.75,207.2,79.0
Nathan Knight,PF-C,9.00,9.50,80.0,235.0,86.0
Theo Maledon,PG,8.50,10.00,76.0,187.4,80.75
Karim Mane,PG-SG,8.50,9.75,77.0,196.0,83.0
Naji Marshall,SF,9.25,10.50,77.75,233.5,84.75
Kenyon Martin Jr.,SF-PF,8.50,8.75,78.0,213.2,79.25
Skylar Mays,SG,8.00,9.75,75.0,204.0,78.0
Zeke Nnaji,PF-C,9.00,10.50,81.25,246.8,86.0
Jordan Nwora,SF-PF,8.50,9.25,77.75,223.0,82.25
Reggie Perry,PF-C,9.25,11.00,80.25,249.6,84.25
Myles Powell,PG-SG,8.00,9.00,72.5,194.0,79.0
Immanuel Quickley,SG,8.00,8.75,74.0,185.8,80.25
Jahmi'us Ramsey,SG,8.75,9.75,74.5,193.4,78.0
Paul Reed Jr.,PF,9.00,8.75,80.5,219.2,86.0
Nick Richards,C,9.00,9.00,82.5,241.6,86.25
Grant Riller,PG-SG,8.00,8.50,72.25,178.4,77.25
Jayden Scrubb,SG-SF,8.25,9.75,77.0,185.2,81.5
Jalen Smith,PF-C,9.25,9.25,81.25,224.6,86.25
Cassius Stanley,SG,8.25,9.00,77.0,201.6,79.0
Lamar Stevens,SF-PF,8.50,9.75,77.75,228.0,81.0
Isaiah Stewart,C,9.00,10.50,79.25,243.0,88.75
Tyrell Terry,PG,7.50,8.25,73.5,170.0,73.75
Killian Tillie,PF,8.25,9.25,80.75,221.6,80.0
Xavier Tillman Sr.,PF-C,10.25,11.00,79.5,266.5,86.0
Kaleb Wesson,C,9.00,10.75,81.25,252.6,87.5
Kahlil Whitney,SF,9.25,10.25,77.5,205.0,84.25
Cassius Winston,PG,8.75,8.25,72.5,196.0,78.0
Robert Woodard II,SF,9.00,10.75,77.5,230.2,86.0
Nickeil Alexander-Walker,SG,8.50,8.75,76.25,203.8,81.5
Charles Bassey,C,9.25,9.50,80.75,239.0,87.5
Darius Bazley,PF,9.00,9.75,79.75,208.4,84.0
Bol Bol,C,9.25,9.50,84.75,208.0,91.0
Jordan Bone,SG,7.50,9.25,73.5,179.0,75.25
Brian Bowen II,SF,8.50,9.75,78.25,200.0,82.0
Ky Bowman,PG,8.25,9.00,73.0,181.2,79.0
Ignas Brazdeikis,SF,8.75,9.50,77.75,220.8,81.25
O'Shae Brissett,SF-PF,9.00,9.50,79.0,203.2,84.0
Moses Brown,C,9.50,10.25,85.25,237.2,88.75
Brandon Clarke,SF,8.25,9.50,79.25,207.2,80.25
Nicolas Claxton,C,9.25,9.50,82.0,216.6,86.5
Tyler Cook,PF,9.50,10.75,79.25,245.4,84.5
Jarrett Culver,SG,8.25,8.50,77.25,194.2,81.5
Terence Davis,SG,9.25,10.75,75.0,192.4,80.75
Luguentz Dort,PG,8.50,9.00,74.75,222.2,80.5
Devon Dotson,PG,8.25,9.50,72.0,178.6,75.25
Carsen Edwards,PG,8.75,9.00,70.75,199.4,78.0
Tacko Fall,C,10.50,10.50,89.25,288.8,98.25
Bruno Fernando,C,9.25,10.00,80.75,237.0,87.25
Daniel Gafford,PF,9.25,9.25,81.25,237.6,86.25
Quentin Grimes,SG,8.25,10.00,76.0,209.6,79.75
Kyle Guy,SG,8.00,8.75,72.75,167.8,76.5
Jaylen Hands,PG,8.00,8.25,73.5,180.4,77.5
Jared Harper,PG,8.25,9.50,69.75,169.2,77.5
Jaxson Hayes,PF,9.25,10.50,82.25,218.6,87.5
Dewan Hernandez,C,9.50,10.25,81.0,232.8,85.75
Tyler Herro,SG,8.00,8.75,76.5,192.4,75.25
Jalen Hoard,PF,8.75,9.75,79.25,212.6,84.75
Talen Horton-Tucker,SG,9.50,9.75,74.5,235.4,85.25
DaQuan Jeffries,SF-PF,9.50,10.25,76.0,215.6,83.25
Ty Jerome,PG,8.25,9.50,76.25,194.4,76.0
