Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%▼,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1,George Hill,PG,33,MIL,59,2,1271,194,376,0.516,81,176,0.46,113,200,0.565,0.624,85,101,0.8420000000000001,50,127,177,180,47,5,57,84,554
2,J.J. Redick,SG,35,NOP,60,36,1581,286,631,0.45299999999999996,180,397,0.45299999999999996,106,234,0.45299999999999996,0.596,165,185,0.892,10,141,151,119,20,10,75,96,917
3,Seth Curry,SG,29,DAL,64,25,1576,284,574,0.495,145,321,0.452,139,253,0.5489999999999999,0.621,80,97,0.825,27,118,145,124,38,9,62,113,793
4,Duncan Robinson,SG,25,MIA,73,68,2166,323,687,0.47,270,606,0.446,53,81,0.654,0.667,67,72,0.9309999999999999,10,222,232,102,35,19,70,193,983
5,Doug McDermott,PF,28,IND,69,0,1372,267,547,0.488,128,294,0.435,139,253,0.5489999999999999,0.605,48,58,0.828,26,148,174,78,12,5,42,117,710
6,Dāvis Bertāns,PF,27,WAS,54,4,1583,265,610,0.434,200,472,0.424,65,138,0.47100000000000003,0.598,104,122,0.852,35,210,245,92,37,33,59,139,834
7,Joe Harris,SF,28,BRK,69,69,2123,381,784,0.486,172,406,0.424,209,378,0.5529999999999999,0.596,64,89,0.7190000000000001,64,234,298,144,41,17,104,159,998
8,Nemanja Bjelica,PF,31,SAC,72,67,2011,314,653,0.48100000000000004,134,320,0.419,180,333,0.541,0.583,69,84,0.821,111,347,458,203,62,40,99,216,831
9,Kyle Korver,SF,38,MIL,58,1,960,126,293,0.43,99,237,0.418,27,56,0.48200000000000004,0.599,35,41,0.8540000000000001,15,107,122,68,26,12,48,78,386
10,Gary Trent Jr.,SF,21,POR,61,8,1332,196,441,0.444,112,268,0.418,84,173,0.486,0.5710000000000001,37,45,0.8220000000000001,25,75,100,61,48,16,21,90,541
11,Khris Middleton,SF,28,MIL,62,59,1853,471,947,0.49700000000000005,147,354,0.415,324,593,0.546,0.575,208,227,0.9159999999999999,44,338,382,265,53,7,137,142,1297
12,Bojan Bogdanović,SF,30,UTA,63,63,2083,418,935,0.447,189,457,0.414,229,478,0.479,0.5479999999999999,250,277,0.903,39,220,259,131,34,7,159,110,1275
13,Isaiah Thomas,PG,30,WAS,40,37,925,174,426,0.408,78,189,0.413,96,237,0.405,0.5,62,76,0.816,11,57,68,146,13,6,77,77,488
14,Paul George,SG,29,LAC,48,48,1419,343,782,0.439,157,381,0.41200000000000003,186,401,0.46399999999999997,0.539,190,217,0.8759999999999999,24,248,272,185,68,20,125,113,1033
15,Karl-Anthony Towns,C,24,MIN,35,35,1187,316,622,0.508,114,277,0.41200000000000003,202,345,0.586,0.6,180,226,0.7959999999999999,95,283,378,153,33,42,110,117,926
16,Marcus Morris,SF-PF,30,TOT,62,62,1936,355,810,0.43799999999999994,142,348,0.408,213,462,0.461,0.526,181,220,0.823,59,252,311,86,47,30,97,180,1033
17,Terry Rozier,PG,25,CHO,63,63,2164,398,941,0.423,172,423,0.40700000000000003,226,518,0.436,0.514,166,190,0.8740000000000001,50,226,276,259,61,10,141,126,1134
18,Kelly Olynyk,C,28,MIA,67,9,1300,184,398,0.462,95,234,0.406,89,164,0.5429999999999999,0.5820000000000001,86,100,0.86,44,261,305,116,45,23,71,173,549
19,Danilo Gallinari,PF,31,OKC,62,62,1834,358,817,0.43799999999999994,178,439,0.405,180,378,0.47600000000000003,0.547,266,298,0.893,34,288,322,119,42,5,76,75,1160
20,Justin Holiday,SF,30,IND,73,6,1826,208,486,0.428,134,331,0.405,74,155,0.47700000000000004,0.5660000000000001,53,67,0.7909999999999999,32,206,238,93,87,46,44,137,603
21,Sviatoslav Mykhailiuk,SF,22,DET,56,27,1265,166,405,0.41,115,285,0.40399999999999997,51,120,0.425,0.552,57,70,0.8140000000000001,17,87,104,106,41,4,61,87,504
